,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
0,https://www.prweb.com/releases/openbom_announces_enhanced_cad_integrations_with_autodesk_fusion_360_and_introduces_an_autodesk_eagle_plug_in/prweb16726632.htm,,OpenBOM™ announces enhanced CAD integrations with Autodesk Fusion 360 and introduces an Autodesk Eagle plug - in,20191118T121500Z,http://ww1.prweb.com/prfiles/2019/11/15/16726632/gI_81986_NewsImage_vcsPRAsset_3225507_81986_68ed50d8-b7f0-46a6-b19e-d364cf84d438_0.png,prweb.com,English,United States
1,https://seekingalpha.com/article/4311210-autodesk-why-i-own-shares,https://seekingalpha.com/amp/article/4311210-autodesk-why-i-own-shares,Autodesk : Why I Own Shares,20191207T200000Z,https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,seekingalpha.com,English,United States
3,https://www.prnewswire.com/news-releases/autodesk-ushers-in-new-era-of-connected-construction-with-autodesk-construction-cloud-300960197.html,,Autodesk Ushers in New Era of Connected Construction with Autodesk Construction Cloud,20191118T194500Z,,prnewswire.com,English,United States
4,https://www.prnewswire.com:443/news-releases/autodesk-ushers-in-new-era-of-connected-construction-with-autodesk-construction-cloud-300960197.html,,Autodesk Ushers in New Era of Connected Construction with Autodesk Construction Cloud,20191118T193000Z,,prnewswire.com,English,United States
5,https://www.prnewswire.com/news-releases/the-opportunity-for-better-starts-at-autodesk-university-2019-300959455.html,,The Opportunity for Better Starts at Autodesk University 2019,20191118T173000Z,,prnewswire.com,English,United States
6,https://www.prnewswire.com:443/news-releases/the-opportunity-for-better-starts-at-autodesk-university-2019-300959455.html,,The Opportunity for Better Starts at Autodesk University 2019,20191118T143000Z,,prnewswire.com,English,United States
7,https://apnews.com/PR%20Newswire/949beabcc5c27db3b7f2054df1d3ba7f,,"Autodesk And Virgin Hyperloop One Announce Joint - Effort To Explore Advanced Route Optimization , Transportation Design , And Construction Technology",20191121T020000Z,https://apnews.com/images/PaidContent3.png,apnews.com,English,United States
9,https://finance.yahoo.com/news/results-autodesk-inc-exceeded-expectations-115238022.html,https://finance.yahoo.com/amphtml/news/results-autodesk-inc-exceeded-expectations-115238022.html,"Results : Autodesk , Inc . Exceeded Expectations And The Consensus Has Updated Its Estimates",20191201T154500Z,https://s.yimg.com/uu/api/res/1.2/FuGhQ7xN_6JEZG6lEFw2bg--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/afe72514e49cbc96644e8d16362d4ea0,finance.yahoo.com,English,United States
10,https://news.yahoo.com/results-autodesk-inc-exceeded-expectations-115238022.html,https://news.yahoo.com/amphtml/results-autodesk-inc-exceeded-expectations-115238022.html,"Results : Autodesk , Inc . Exceeded Expectations And The Consensus Has Updated Its Estimates",20191201T133000Z,https://s.yimg.com/ny/api/res/1.2/bWOcHZlbSDINyDZfw1_x1g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD00NjMuMTE1NTc3ODg5NDQ3MjU-/https://s.yimg.com/uu/api/res/1.2/FuGhQ7xN_6JEZG6lEFw2bg--~B/aD00MzI7dz0xMTk0O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/simply_wall_st__316/afe72514e49cbc96644e8d16362d4ea0,news.yahoo.com,English,United States
11,https://www.prweb.com/releases/autodesk_certified_professional_exams_to_be_delivered_online_through_onvue_and_in_pearson_vue_test_centers/prweb16744037.htm,,Autodesk Certified Professional Exams to be Delivered Online through OnVUE and in Pearson VUE Test Centers,20191122T133000Z,http://ww1.prweb.com/prfiles/2019/11/22/16744037/gI_137134_NewsImage_vcsPRAsset_532345_137134_a62f0009-a16b-4663-b069-1f8d934ba655_0.png,prweb.com,English,United States
