,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
2,https://www.dailypolitical.com/2018/03/06/180-wealth-advisors-llc-takes-297000-position-in-align-technology-inc-algn.html,https://www.dailypolitical.com/2018/03/06/180-wealth-advisors-llc-takes-297000-position-in-align-technology-inc-algn.html/amp,"180 Wealth Advisors LLC Takes $297 , 000 Position in Align Technology , Inc . ( ALGN ) ",20180306T093000Z,,dailypolitical.com,English,United States
3,https://www.dailypolitical.com/2018/03/11/viking-global-investors-lp-cuts-position-in-align-technology-inc-algn.html,https://www.dailypolitical.com/2018/03/11/viking-global-investors-lp-cuts-position-in-align-technology-inc-algn.html/amp,"Viking Global Investors LP Cuts Position in Align Technology , Inc . ( ALGN ) ",20180311T183000Z,,dailypolitical.com,English,United States
4,https://www.dailypolitical.com/2018/03/08/align-technology-inc-algn-shares-bought-by-rock-springs-capital-management-lp.html,https://www.dailypolitical.com/2018/03/08/align-technology-inc-algn-shares-bought-by-rock-springs-capital-management-lp.html/amp,"Align Technology , Inc . ( ALGN ) Shares Bought by Rock Springs Capital Management LP",20180308T210000Z,,dailypolitical.com,English,United States
5,https://www.dailypolitical.com/2018/03/18/flinton-capital-management-llc-sells-252-shares-of-align-technology-inc-algn.html,https://www.dailypolitical.com/2018/03/18/flinton-capital-management-llc-sells-252-shares-of-align-technology-inc-algn.html/amp,"Flinton Capital Management LLC Sells 252 Shares of Align Technology , Inc . ( ALGN ) ",20180318T114500Z,,dailypolitical.com,English,United States
6,https://www.dailypolitical.com/2018/03/17/align-technology-inc-algn-expected-to-announce-earnings-of-0-98-per-share.html,https://www.dailypolitical.com/2018/03/17/align-technology-inc-algn-expected-to-announce-earnings-of-0-98-per-share.html/amp,"Align Technology , Inc . ( ALGN ) Expected to Announce Earnings of $0 . 98 Per Share",20180318T013000Z,,dailypolitical.com,English,United States
7,https://www.dailypolitical.com/2018/03/17/align-technology-inc-algn-expected-to-announce-quarterly-sales-of-408-25-million.html,https://www.dailypolitical.com/2018/03/17/align-technology-inc-algn-expected-to-announce-quarterly-sales-of-408-25-million.html/amp,"Align Technology , Inc . ( ALGN ) Expected to Announce Quarterly Sales of $408 . 25 Million",20180318T024500Z,,dailypolitical.com,English,United States
8,https://www.wkrb13.com/2018/04/04/align-technology-algn-receives-average-rating-of-buy-from-analysts.html,https://www.wkrb13.com/2018/04/04/align-technology-algn-receives-average-rating-of-buy-from-analysts.html/amp,Align Technology ( ALGN ) Receives Average Rating of  Buy  from Analysts,20180404T054500Z,,wkrb13.com,English,United States
9,https://www.wkrb13.com/2018/03/31/brokerages-expect-align-technology-algn-will-announce-quarterly-sales-of-408-25-million.html,https://www.wkrb13.com/2018/03/31/brokerages-expect-align-technology-algn-will-announce-quarterly-sales-of-408-25-million.html/amp,Brokerages Expect Align Technology ( ALGN ) Will Announce Quarterly Sales of $408 . 25 Million,20180331T083000Z,,wkrb13.com,English,United States
10,https://www.dailypolitical.com/2018/03/09/align-technology-algn-raised-to-buy-at-bidaskclub.html,https://www.dailypolitical.com/2018/03/09/align-technology-algn-raised-to-buy-at-bidaskclub.html/amp,Align Technology ( ALGN ) Raised to  Buy  at BidaskClub,20180310T073000Z,,dailypolitical.com,English,United States
16,https://www.wkrb13.com/2018/03/20/zacks-analysts-anticipate-align-technology-inc-algn-will-announce-quarterly-sales-of-408-25-million.html,https://www.wkrb13.com/2018/03/20/zacks-analysts-anticipate-align-technology-inc-algn-will-announce-quarterly-sales-of-408-25-million.html/amp,"Zacks : Analysts Anticipate Align Technology , Inc . ( ALGN ) Will Announce Quarterly Sales of $408 . 25 Million",20180320T044500Z,,wkrb13.com,English,United States
17,https://www.dailypolitical.com/2018/03/15/align-technology-inc-algn-receives-256-38-consensus-target-price-from-analysts.html,https://www.dailypolitical.com/2018/03/15/align-technology-inc-algn-receives-256-38-consensus-target-price-from-analysts.html/amp,"Align Technology , Inc . ( ALGN ) Receives $256 . 38 Consensus Target Price from Analysts",20180316T034500Z,,dailypolitical.com,English,United States
20,https://www.wkrb13.com/2018/04/03/align-technology-algn-given-daily-media-sentiment-score-of-0-12.html,https://www.wkrb13.com/2018/04/03/align-technology-algn-given-daily-media-sentiment-score-of-0-12.html/amp,Align Technology ( ALGN ) Given Daily Media Sentiment Score of 0 . 12,20180403T013000Z,,wkrb13.com,English,United States
